"Name","API Name","Instance Memory","vCPUs","GiB of Memory per vCPU","Instance Storage","Network Performance","Linux On Demand cost"
"M5ZN 6xlarge","m5zn.6xlarge","96.0 GiB","24 vCPUs","4.00 GiB/vCPU","EBS only","50 Gigabit","$1.9820 hourly"
"D3 Quadruple Extra Large","d3.4xlarge","128.0 GiB","16 vCPUs","8.00 GiB/vCPU","23760 GB                 (12 * 1980 GB NVMe HDD)","Up to 15 Gigabit","$1.9980 hourly"
"M4 General Purpose Deca Extra Large","m4.10xlarge","160.0 GiB","40 vCPUs","4.00 GiB/vCPU","EBS only","10 Gigabit","$2.0000 hourly"
"Cluster Compute Eight Extra Large","cc2.8xlarge","60.5 GiB","32 vCPUs","1.89 GiB/vCPU","3360 GB                 (4 * 840 GB HDD)","10 Gigabit","$2.0000 hourly"
"R5 Eight Extra Large","r5.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","EBS only","10 Gigabit","$2.0160 hourly"
"R6I Eight Extra Large","r6i.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","EBS only","12.5 Gigabit","$2.0160 hourly"
"C5 High-CPU 12xlarge","c5.12xlarge","96.0 GiB","48 vCPUs","2.00 GiB/vCPU","EBS only","12 Gigabit","$2.0400 hourly"
"C6I 12xlarge","c6i.12xlarge","96.0 GiB","48 vCPUs","2.00 GiB/vCPU","EBS only","18.75 Gigabit","$2.0400 hourly"
"M5A 12xlarge","m5a.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","EBS only","10 Gigabit","$2.0640 hourly"
"C5AD 12xlarge","c5ad.12xlarge","96.0 GiB","48 vCPUs","2.00 GiB/vCPU","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$2.0640 hourly"
"C6GN 12xlarge","c6gn.12xlarge","96.0 GiB","48 vCPUs","2.00 GiB/vCPU","EBS only","75 Gigabit","$2.0736 hourly"
"M6A 12xlarge","m6a.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","EBS only","18.75 Gigabit","$2.0736 hourly"
"R5AD Eight Extra Large","r5ad.8xlarge","256.0 GiB","32 vCPUs","8.00 GiB/vCPU","1200 GB                 (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","$2.0960 hourly"
"D3EN Quadruple Extra Large","d3en.4xlarge","64.0 GiB","16 vCPUs","4.00 GiB/vCPU","111840 GB                 (8 * 13980 GB NVMe HDD)","25 Gigabit","$2.1030 hourly"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","32 vCPUs","7.62 GiB/vCPU","EBS only","10 Gigabit","$2.1280 hourly"
"M6GD 12xlarge","m6gd.12xlarge","192.0 GiB","48 vCPUs","4.00 GiB/vCPU","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$2.1696 hourly"
"G4DN Eight Extra Large","g4dn.8xlarge","128.0 GiB","32 vCPUs","4.00 GiB/vCPU","900 GB                 NVMe SSD","50 Gigabit","$2.1760 hourly"
